customer_id,tenure_months,contract,internet_service,monthly_charges,total_charges,payment_method,tech_support,online_security,senior_citizen,partner,paperless_billing,num_support_tickets,churn
CUST00001,51,Month-to-month,Fiber optic,80.4,4064.14,Electronic check,No,Yes,0,Yes,Yes,0,0
CUST00002,14,One year,DSL,92.33,1259.02,Mailed check,No,Yes,0,No,Yes,0,0
CUST00003,71,Month-to-month,Fiber optic,95.64,6648.05,Mailed check,No,No,0,Yes,No,1,0
CUST00004,60,Month-to-month,DSL,96.62,5582.8,Credit card (automatic),No,Yes,0,No,Yes,1,0
CUST00005,20,Month-to-month,Fiber optic,85.67,1683.46,Electronic check,Yes,No,0,Yes,Yes,1,0
CUST00006,23,One year,Fiber optic,40.01,875.86,Mailed check,No,No,0,No,No,3,1
CUST00007,2,One year,No,59.23,116.97,Bank transfer (automatic),Yes,Yes,0,Yes,Yes,4,0
CUST00008,21,Month-to-month,Fiber optic,97.17,1955.2,Mailed check,No,Yes,0,Yes,Yes,3,0
CUST00009,52,Month-to-month,DSL,115.25,5761.54,Credit card (automatic),Yes,No,0,No,Yes,1,1
CUST00010,1,Two year,DSL,26.05,24.75,Bank transfer (automatic),No,No,1,Yes,Yes,1,0
CUST00011,29,Month-to-month,No,72.62,2033.66,Mailed check,Yes,Yes,0,Yes,Yes,1,0
CUST00012,37,Month-to-month,DSL,49.88,1789.11,Mailed check,No,No,1,Yes,No,3,1
CUST00013,1,Two year,Fiber optic,40.99,39.42,Credit card (automatic),No,No,1,No,Yes,0,1
CUST00014,63,One year,DSL,69.59,4215.43,Bank transfer (automatic),Yes,Yes,0,Yes,Yes,4,0
CUST00015,59,One year,Fiber optic,79.82,4684.18,Credit card (automatic),No,No,0,No,Yes,0,0
CUST00016,20,One year,Fiber optic,19.0,367.2,Electronic check,No,Yes,0,No,Yes,1,0
CUST00017,32,Two year,Fiber optic,97.58,3079.2,Mailed check,Yes,No,0,No,Yes,2,0
CUST00018,57,Month-to-month,Fiber optic,101.63,5572.02,Credit card (automatic),Yes,No,1,Yes,Yes,0,0
CUST00019,21,Month-to-month,No,116.48,2422.72,Electronic check,No,No,0,No,No,2,1
CUST00020,48,Month-to-month,Fiber optic,36.43,1720.46,Credit card (automatic),Yes,No,0,No,No,2,1
CUST00021,58,Two year,Fiber optic,78.64,4505.52,Electronic check,No,Yes,1,Yes,Yes,1,0
CUST00022,41,One year,No,61.52,2451.64,Credit card (automatic),Yes,Yes,0,Yes,Yes,0,0
CUST00023,59,Month-to-month,No,52.15,3058.32,Mailed check,Yes,Yes,0,No,No,1,0
CUST00024,14,Two year,DSL,75.69,1026.49,Electronic check,No,Yes,0,No,No,2,0
CUST00025,61,Month-to-month,No,97.8,5846.75,Credit card (automatic),No,No,1,Yes,Yes,1,0
CUST00026,61,Month-to-month,DSL,20.35,1219.01,Electronic check,Yes,No,0,No,Yes,0,0
CUST00027,46,Month-to-month,Fiber optic,116.88,5363.64,Electronic check,No,Yes,0,No,Yes,2,0
CUST00028,61,Month-to-month,No,100.61,5871.63,Electronic check,Yes,Yes,0,Yes,Yes,1,0
CUST00029,50,Two year,DSL,94.62,4526.53,Bank transfer (automatic),No,Yes,0,Yes,Yes,1,1
CUST00030,54,Month-to-month,DSL,95.56,5021.44,Credit card (automatic),No,No,0,No,No,1,0
CUST00031,63,Two year,DSL,57.68,3618.92,Electronic check,Yes,No,0,Yes,Yes,0,0
CUST00032,2,One year,Fiber optic,94.67,180.08,Mailed check,Yes,No,0,No,Yes,1,0
CUST00033,50,Month-to-month,Fiber optic,57.45,2768.56,Electronic check,Yes,Yes,0,No,No,2,0
CUST00034,6,Two year,Fiber optic,109.67,634.45,Bank transfer (automatic),Yes,No,0,Yes,Yes,0,0
CUST00035,20,Month-to-month,No,36.08,696.52,Electronic check,Yes,Yes,0,Yes,Yes,1,0
CUST00036,72,Month-to-month,Fiber optic,47.82,3275.14,Electronic check,No,No,0,Yes,No,2,0
CUST00037,38,Month-to-month,DSL,74.24,2796.52,Electronic check,Yes,No,0,Yes,Yes,2,1
CUST00038,17,Two year,No,50.56,816.93,Bank transfer (automatic),No,No,0,No,No,1,0
CUST00039,3,Month-to-month,DSL,61.27,179.01,Credit card (automatic),No,No,0,No,Yes,1,1
CUST00040,59,Month-to-month,DSL,68.23,3835.64,Mailed check,No,No,0,No,Yes,0,0
CUST00041,13,Month-to-month,DSL,105.35,1355.76,Electronic check,No,Yes,0,No,No,1,1
CUST00042,8,Month-to-month,Fiber optic,71.37,563.73,Bank transfer (automatic),Yes,Yes,0,No,Yes,1,0
CUST00043,52,One year,DSL,54.97,2818.64,Credit card (automatic),No,No,0,No,No,2,0
CUST00044,1,Month-to-month,DSL,43.27,42.7,Electronic check,Yes,Yes,1,No,Yes,0,0
CUST00045,59,Month-to-month,DSL,59.68,3510.6,Electronic check,No,Yes,1,No,Yes,1,1
CUST00046,70,Month-to-month,DSL,70.61,4798.57,Electronic check,Yes,No,1,Yes,No,1,0
CUST00047,43,Month-to-month,Fiber optic,94.1,4018.29,Bank transfer (automatic),No,No,0,No,No,1,1
CUST00048,7,Two year,No,30.35,203.78,Bank transfer (automatic),No,No,1,No,No,1,0
CUST00049,46,Month-to-month,Fiber optic,40.6,1816.36,Mailed check,No,Yes,0,No,Yes,0,0
CUST00050,34,Two year,DSL,56.72,1832.92,Electronic check,Yes,Yes,1,No,No,0,0
CUST00051,35,Month-to-month,DSL,54.76,1848.0,Electronic check,Yes,No,0,Yes,Yes,2,0
CUST00052,49,Month-to-month,No,57.96,2763.1,Credit card (automatic),No,No,0,Yes,No,1,1
CUST00053,3,Two year,DSL,98.94,295.47,Electronic check,Yes,No,0,Yes,Yes,1,1
CUST00054,1,Month-to-month,No,51.06,49.32,Credit card (automatic),Yes,No,1,Yes,Yes,1,0
CUST00055,5,One year,DSL,69.19,340.28,Bank transfer (automatic),No,No,0,Yes,Yes,2,0
CUST00056,53,Two year,No,81.64,4291.0,Electronic check,No,Yes,0,No,Yes,2,0
CUST00057,3,Month-to-month,DSL,41.68,120.83,Mailed check,Yes,Yes,0,Yes,No,0,1
CUST00058,53,Month-to-month,Fiber optic,91.31,4638.41,Credit card (automatic),No,Yes,0,Yes,Yes,0,0
CUST00059,62,One year,Fiber optic,73.81,4482.68,Mailed check,No,No,1,No,No,0,0
CUST00060,17,Month-to-month,Fiber optic,63.57,1042.02,Credit card (automatic),Yes,Yes,0,Yes,Yes,3,0
CUST00061,43,Month-to-month,DSL,100.6,4250.63,Electronic check,No,No,0,No,Yes,1,1
CUST00062,33,Month-to-month,Fiber optic,42.84,1352.56,Bank transfer (automatic),No,No,0,Yes,Yes,0,0
CUST00063,61,Month-to-month,Fiber optic,108.08,6313.21,Credit card (automatic),No,Yes,0,Yes,No,2,0
CUST00064,13,One year,DSL,75.23,962.14,Credit card (automatic),Yes,No,1,Yes,No,1,0
CUST00065,47,Month-to-month,DSL,80.14,3761.6,Mailed check,No,No,0,No,Yes,1,1
CUST00066,14,Month-to-month,Fiber optic,107.26,1445.1,Bank transfer (automatic),No,No,0,No,Yes,1,0
CUST00067,71,One year,DSL,101.39,7095.72,Electronic check,Yes,No,0,No,Yes,1,0
CUST00068,61,Month-to-month,Fiber optic,79.36,4727.69,Electronic check,No,Yes,0,Yes,No,2,1
CUST00069,39,Month-to-month,DSL,94.83,3669.49,Electronic check,Yes,No,0,No,No,2,0
CUST00070,52,One year,Fiber optic,62.2,3135.57,Electronic check,Yes,Yes,0,No,Yes,1,0
CUST00071,23,Month-to-month,DSL,73.83,1695.69,Electronic check,Yes,No,0,Yes,Yes,1,0
CUST00072,25,One year,Fiber optic,24.33,580.34,Electronic check,Yes,No,1,No,No,2,0
CUST00073,59,Two year,DSL,27.17,1601.8,Credit card (automatic),No,No,0,No,Yes,2,0
CUST00074,40,Month-to-month,DSL,102.6,4072.45,Bank transfer (automatic),Yes,Yes,0,Yes,No,2,1
CUST00075,28,Month-to-month,DSL,24.09,670.02,Mailed check,No,No,0,Yes,Yes,0,0
CUST00076,14,Month-to-month,No,35.28,490.03,Credit card (automatic),Yes,No,1,No,No,1,1
